Company,Industry,Stage,Country,Market Condition,Remote Policy,Company Size,Company Age,Location HQ(Encoded),Funds Raised ($M),Revenue ($M),Burn Rate,Industry Growth (%),Year,Month,Actual Layoffs
DigitalVentures,Media,Series G,Russia,Recovery,Remote,1085,10,149,705.3,282.45,12,0.031,2024,5,214
NexusInc,HR,Post-IPO,Nigeria,Recovery,Hybrid,13468,16,115,1051.3,4922.6,14,0.002,2024,8,1950
ApexSystems,Energy,Series I,Mexico,Downturn,Office,2353,17,82,1378.2,925.92,16,-0.018,2022,12,584
Zoopla,Recruiting,Series J,Sweden,Downturn,Remote,2787,13,133,1974.9,603.15,14,-0.006,2022,5,741
DataVentures,Product,Acquired,Cayman Islands,Recession,Hybrid,2790,5,40,287.2,730.54,13,0.027,2023,3,739
DigitalCorp,Recruiting,Unknown,Indonesia,Recovery,Hybrid,1488,17,101,75.8,481.7,20,0.013,2024,5,448
AIVentures,Sales,Private Equity,Estonia,Recession,Hybrid,6945,14,213,766.9,1708.28,12,-0.001,2023,6,1134
AIInnovations,Sales,Series A,Ghana,Recession,Office,100,2,1,7.3,22.89,13,-0.031,2020,8,17
Cvent,AI,Series J,South Africa,Recovery,Hybrid,3138,13,39,1695,1044.75,16,0.028,2024,10,211
DataDynamics,Marketing,Subsidiary,Vietnam,Recession,Hybrid,5217,3,91,803.9,1456.28,12,0.048,2020,9,1777
DigitalSystems,Retail,Acquired,Czech Republic,Stable,Office,2690,10,31,692.1,986.85,13,-0.01,2024,1,838
HubHaus,Logistics,Series H,United States,Recession,Hybrid,1250,16,174,687.4,406.87,15,0.045,2023,4,333
CloudVentures,Manufacturing,Acquired,Australia,Recession,Office,2071,21,29,669.1,722.96,12,0.022,2020,4,535
StoryBlocks,Recruiting,Acquired,Japan,Downturn,Office,2653,25,217,235.9,1278.11,19,0.029,2022,12,606
CloudInc,Infrastructure,Series A,Pakistan,Stable,Remote,135,2,106,10.3,57.35,9,0.033,2022,1,24
GlobalDynamics,Other,Private Equity,Brazil,Recession,Hybrid,4481,36,198,1312.6,1115.65,15,0.039,2020,9,655
Liftoff,Energy,Series B,Indonesia,Recession,Hybrid,150,3,101,26.7,67.65,11,-0.001,2020,4,23
Venafi,AI,Series B,Austria,Downturn,Office,242,5,122,20.9,85.77,18,0.013,2022,9,54
CloudSystems,Support,Series D,Mexico,Downturn,Remote,630,6,146,145.1,105.42,11,0.038,2022,5,89
ApexLabs,Hardware,Series B,Indonesia,Recovery,Hybrid,193,5,101,29.8,33.81,15,-0.001,2024,9,57
DigitalLabs,Real Estate,Series I,Netherlands,Recession,Hybrid,1342,10,216,1421.3,460.49,9,-0.04,2020,5,144
AppLovin,Healthcare,Series G,Colombia,Recovery,Remote,1452,16,24,799.7,532.76,10,0.01,2021,4,248
Parallel Wireless,Other,Series A,Egypt,Stable,Hybrid,82,5,37,9.4,19.62,11,-0.049,2022,3,19
QuantumLabs,Data,Seed,Uruguay,Recession,Hybrid,34,1,147,2.9,7.83,18,-0.053,2020,10,2
ApexSystems,Data,Series G,Italy,Recession,Office,1526,17,142,437.4,399.5,13,0.015,2023,8,351
ApexDynamics,Data,Series E,South Africa,Downturn,Hybrid,574,11,39,352.9,132.88,10,-0.063,2022,9,191
GoCanvas,Hardware,Seed,Belgium,Recovery,Hybrid,23,1,32,3.2,9.1,9,-0.062,2021,4,3
Mojo,HR,Seed,Kenya,Recovery,Remote,32,3,152,1.8,6.33,8,-0.01,2021,8,8
GlobalSolutions,Support,Subsidiary,Norway,Stable,Hybrid,5733,30,194,805,1273.78,15,-0.011,2023,11,637
ApexSolutions,Food,Series E,Denmark,Recession,Hybrid,735,12,53,310.4,141.94,9,-0.003,2023,7,177
GlobalCorp,Retail,Series C,Saudi Arabia,Recession,Office,373,8,186,56.6,151.01,13,-0.006,2023,7,63
AIVentures,Product,Post-IPO,United Kingdom,Stable,Office,5912,50,136,4466.8,2431.97,12,0.046,2020,1,1821
TechTechnologies,Crypto,Series B,Chile,Recession,Remote,267,4,197,20.7,35.6,12,-0.05,2020,6,75
Multiverse,Education,Series F,Germany,Stable,Remote,1092,13,109,427,272.65,19,-0.03,2020,2,146
Ro,Marketing,Series E,United States,Recession,Hybrid,754,11,102,302.9,322.66,8,-0.004,2023,1,156
Boxed,Logistics,Private Equity,Lithuania,Downturn,Remote,4815,5,226,1483.9,1254.82,14,-0.002,2022,9,696
CloudDynamics,Food,Series F,Thailand,Downturn,Hybrid,1049,12,12,507.3,224.07,11,0.051,2022,10,126
Acast,Energy,Series I,Japan,Recovery,Remote,2150,21,217,1374,561.05,16,-0.016,2021,1,445
DataInnovations,Healthcare,Series A,France,Recovery,Hybrid,102,4,219,10.8,35.86,14,-0.019,2024,9,27
ApexGroup,Infrastructure,Series D,Thailand,Recovery,Office,572,7,12,119.3,198.51,12,0.026,2024,8,141
SIRCLO,Travel,Private Equity,South Korea,Downturn,Office,4559,24,202,1682.8,1262.25,7,-0.084,2022,5,772
DataInnovations,Legal,Series A,Mexico,Recovery,Hybrid,127,3,82,13.8,28.45,14,0.01,2021,4,33
ApexGroup,Media,Series I,Ukraine,Recovery,Remote,2101,19,114,1685.8,617.3,12,-0.033,2024,5,311
Ludia,Other,Series H,Poland,Recession,Hybrid,2402,13,84,1140.3,288.67,8,0.018,2020,12,363
Made Renovation,Product,Series G,Australia,Downturn,Office,1133,16,29,706.6,295.48,10,-0.028,2022,5,193
Keepe,Support,Series G,Brazil,Recession,Remote,1004,8,177,781.4,215.02,16,-0.043,2020,8,166
BigCommerce,Recruiting,Seed,France,Recovery,Hybrid,35,2,219,3.2,9.47,12,0.057,2021,4,3
Ericsson,Fitness,Series I,South Africa,Stable,Remote,1596,18,39,1128.5,375.37,14,0.008,2022,3,342
DataTechnologies,Recruiting,Series J,Hong Kong,Recovery,Hybrid,2570,12,92,1059.3,997.1,16,-0.085,2024,7,924
SmartDynamics,AI,Series A,Denmark,Stable,Office,86,3,53,10.2,28.69,17,0.025,2020,2,16
QuantumSolutions,Sales,Post-IPO,Finland,Downturn,Remote,10046,18,70,2908.2,2710.45,12,-0.053,2022,8,1195
DigitalDynamics,Consumer,Series J,Senegal,Recovery,Office,2163,17,57,1711.8,823.44,19,-0.037,2024,9,403
DigitalGroup,Marketing,Post-IPO,Luxembourg,Growth,Remote,9092,18,130,3267.4,2350.39,14,0.004,2021,9,2327
FullStory,Consumer,Series C,Uruguay,Growth,Hybrid,358,4,147,93.4,84.72,16,0.07,2021,12,22
CloudSystems,Manufacturing,Series H,Switzerland,Recovery,Hybrid,2152,11,238,1302.6,753.34,13,-0.074,2024,10,644
NexusTechnologies,Travel,Series E,Denmark,Recession,Remote,913,12,53,355.4,208.39,10,0.062,2020,9,279
NexusDynamics,Logistics,Series J,Denmark,Downturn,Remote,2625,11,53,1872.7,1158.19,12,-0.03,2022,8,254
DataDynamics,Real Estate,Post-IPO,Canada,Recession,Hybrid,6781,42,218,2298.9,1862.32,9,-0.038,2023,9,1354
ApexDynamics,Travel,Series J,Indonesia,Downturn,Office,1674,18,101,2072.2,301.88,13,0.007,2022,4,485
AIDynamics,Manufacturing,Series C,Switzerland,Recession,Hybrid,410,7,78,80.1,161.74,11,0.026,2023,4,67
DataGroup,Data,Series G,Nigeria,Stable,Hybrid,1648,13,96,876.7,440.2,13,-0.034,2022,3,285
CloudDynamics,Aerospace,Subsidiary,Malaysia,Recovery,Remote,3937,10,113,716.6,1527.81,10,-0.026,2024,8,680
SmartInnovations,Travel,Series A,Egypt,Recovery,Remote,68,4,37,10.5,22.68,15,-0.005,2024,3,9
ApexDynamics,Product,Series C,India,Recovery,Hybrid,224,6,95,60.7,71.44,14,-0.017,2021,6,52
DigitalSolutions,Product,Series E,Kenya,Growth,Hybrid,967,9,152,242.5,182.02,16,0.049,2021,9,143
DataSolutions,AI,Acquired,Portugal,Recession,Remote,3897,25,51,244.7,1430.17,8,-0.025,2023,8,507
AIInnovations,Data,Series E,Ukraine,Downturn,Remote,1042,9,114,189,277.94,16,0.016,2022,5,194
Vendr,Fitness,Private Equity,Chile,Recession,Hybrid,5631,39,197,1406.4,2031.36,11,0.016,2023,9,913
AISolutions,Support,Series J,Switzerland,Stable,Hybrid,1827,21,208,1693.2,655.46,11,0.061,2024,2,439
QuantumSolutions,Food,Series I,Bahrain,Recovery,Remote,2208,11,135,965.3,510.45,12,0.024,2021,4,358
AICorp,Hardware,Post-IPO,Nigeria,Recession,Office,8571,21,0,3654.2,1522.23,15,0.055,2020,10,2015
SmartDynamics,Food,Private Equity,Mexico,Recession,Hybrid,5518,7,140,1186.5,852.9,18,0.014,2023,1,717
ApexInnovations,Recruiting,Private Equity,Australia,Recession,Hybrid,7066,38,29,1357.9,1423.98,11,0.06,2023,5,1305
Brilliant,Real Estate,Series J,Poland,Recession,Office,2565,11,112,1569.9,663.84,14,-0.039,2020,6,856
ApexSolutions,Infrastructure,Private Equity,Mexico,Recovery,Hybrid,9830,33,140,1613.7,2396.12,15,0.06,2024,9,2262
DataGroup,Media,Series F,Indonesia,Recession,Hybrid,939,8,101,378.5,251.49,7,0.014,2023,3,279
GlobalSolutions,Travel,Unknown,Brazil,Recession,Remote,1449,19,74,48.6,488.49,16,-0.062,2020,6,338
AIInc,AI,Series H,Canada,Recession,Hybrid,1169,13,223,1157.8,351.1,17,-0.002,2023,8,311
ApexInnovations,Infrastructure,Series C,Australia,Recession,Hybrid,274,4,29,64.3,78.5,16,0.012,2020,7,74
DigitalInnovations,Transportation,Acquired,Romania,Recovery,Remote,3333,22,50,419.4,993.37,17,-0.005,2021,7,1119
ApexGroup,Security,Series B,Myanmar,Downturn,Office,182,5,236,29.5,53.26,12,0.051,2022,4,31
NexusSolutions,Infrastructure,Series D,Vietnam,Recession,Office,420,10,88,136.9,105.32,19,-0.007,2023,3,58
ApexDynamics,Aerospace,Series G,Kenya,Recovery,Remote,1480,16,152,698.7,234.33,14,-0.022,2021,8,255
NexusVentures,Finance,Series E,Bulgaria,Stable,Office,686,10,206,260.3,138.45,12,0.006,2023,12,220
GlobalCorp,Security,Unknown,Poland,Downturn,Hybrid,881,9,84,81.8,240.58,11,0.013,2022,11,299
GlobalVentures,Logistics,Post-IPO,Russia,Recovery,Hybrid,6587,44,149,2987.6,2441.07,16,0.016,2024,7,2002
Tropic,Consumer,Series I,Czech Republic,Stable,Hybrid,1844,10,31,1161.5,380.35,11,-0.033,2020,1,452
CloudLabs,Hardware,Series I,Poland,Recovery,Remote,1907,21,84,1021.8,845.39,13,-0.042,2024,8,712
Vibrent Health,Food,Unknown,India,Recession,Office,1198,15,180,40.4,294.18,20,0.077,2020,12,136
CloudSolutions,Sales,Seed,Lithuania,Recovery,Hybrid,29,3,226,2.7,6.15,17,-0.041,2021,3,3
CloudCorp,Fitness,Unknown,Ukraine,Stable,Hybrid,976,10,114,56.1,199.77,16,-0.071,2024,1,71
Briza,Travel,Series I,Colombia,Recession,Remote,1956,20,24,1983.8,444.56,15,-0.011,2023,1,366
DataDynamics,Finance,Series I,Pakistan,Recovery,Remote,1796,14,116,1685.7,572.57,10,-0.131,2021,5,121
AIVentures,Retail,Series H,Thailand,Recession,Office,1315,14,12,1068.1,294.03,20,0.017,2023,6,198
Homeday,Sales,Post-IPO,United Kingdom,Growth,Remote,8043,48,136,1538.2,2313.34,17,-0.015,2021,10,643
AILabs,Travel,Post-IPO,Saudi Arabia,Recovery,Hybrid,8359,23,186,2956.1,2089.69,15,0,2024,7,905
GlobalCorp,Marketing,Subsidiary,Netherlands,Recession,Hybrid,2090,28,5,1076.2,564.84,16,0.019,2020,7,401
NexusTechnologies,Crypto,Series B,Colombia,Recovery,Remote,175,6,24,26.3,38.26,16,-0.029,2021,5,18
GumGum,AI,Series I,Portugal,Downturn,Office,1655,17,123,1511.1,327.85,15,-0.043,2022,4,256
GlobalSystems,Data,Series C,Cayman Islands,Recession,Office,230,5,40,74.7,62.6,12,0.027,2023,6,43
CloudCorp,Marketing,Seed,Lithuania,Recession,Hybrid,45,2,226,2.3,10.65,11,-0.068,2020,11,4
DataTechnologies,Product,Series E,Belgium,Recession,Office,1045,7,32,282.3,256.78,19,0.002,2020,11,131
DigitalLabs,Sales,Series G,United Arab Emirates,Recovery,Hybrid,1368,11,63,638.9,320.41,12,-0.051,2021,2,446
CloudGroup,Logistics,Acquired,Germany,Recovery,Hybrid,2234,17,86,533.6,620.45,10,0.037,2024,11,714
NexusSolutions,Energy,Series D,Italy,Downturn,Hybrid,515,10,142,151.3,77.35,19,0.001,2022,4,149
TechVentures,Logistics,Unknown,Germany,Recovery,Hybrid,941,13,227,83.6,276.38,15,-0.019,2024,7,98
CloudLabs,Education,Acquired,Norway,Recovery,Office,1439,20,194,294.2,358.97,9,0.017,2024,9,325
Vice Media,Product,Post-IPO,Malaysia,Recovery,Remote,8065,39,113,2402.2,1034.06,14,-0.067,2021,5,1594
ApexDynamics,Product,Private Equity,Peru,Downturn,Hybrid,6774,27,121,1243.4,1828.31,11,0.018,2022,11,749
GloriFi,Manufacturing,Series I,Lithuania,Recovery,Remote,1610,12,226,931.8,694.71,12,-0.015,2021,4,425
DigitalInnovations,HR,Acquired,Peru,Downturn,Hybrid,3211,3,121,789.9,1376.13,20,-0.032,2022,5,899
Kyndryl,Sales,Series F,Turkey,Growth,Remote,887,13,99,458,121.15,14,0.031,2021,9,92
Rewind,Transportation,Subsidiary,Pakistan,Recession,Office,4469,3,116,1016.9,1221.13,9,0.076,2023,4,1374
NexusGroup,Sales,Series H,Vietnam,Recession,Hybrid,1942,13,91,1082.2,796.12,15,-0.02,2023,9,600
Lawgeex,Travel,Unknown,Estonia,Stable,Office,1013,20,213,56.9,266.24,11,0.075,2022,1,332
Copia,Energy,Post-IPO,United Arab Emirates,Recession,Office,7487,24,63,2579.7,1747.67,18,-0.016,2023,4,1339
DigitalSystems,Food,Series F,Pakistan,Downturn,Hybrid,1063,8,106,458,337.92,10,0.015,2022,5,314
QuantumLabs,Healthcare,Unknown,Belgium,Recession,Remote,840,1,32,43.4,240.99,12,0,2023,8,281
Intapp,Other,Series G,Egypt,Growth,Office,1220,14,37,489.2,396.67,19,-0.069,2021,11,356
NexusInnovations,Energy,Subsidiary,Vietnam,Downturn,Office,5174,41,91,1097,767.35,16,-0.027,2022,12,457
Glints,Data,Subsidiary,Argentina,Recovery,Office,4184,42,35,473.8,1298.07,16,0.013,2021,6,768
DigitalLabs,Finance,Post-IPO,Hungary,Recovery,Office,10966,36,34,4121,3263.4,16,-0.049,2024,8,1316
DigitalGroup,Transportation,Series A,Hungary,Recession,Office,96,3,34,5.5,17.42,19,0.051,2023,8,23
DigitalDynamics,Product,Series E,Poland,Stable,Office,734,7,112,285.1,151.93,18,-0.017,2024,1,232
QuantumLabs,Sales,Post-IPO,Poland,Recession,Hybrid,8724,38,84,2529.7,3091.36,11,-0.024,2023,6,1552
DataDynamics,Logistics,Series F,Peru,Recession,Remote,878,13,121,502.7,280.83,9,0.004,2023,3,183
LiveVox,Crypto,Subsidiary,Australia,Stable,Office,2023,4,138,702.1,888.37,15,-0.068,2022,3,467
Arkane Studios,Media,Series G,Hungary,Recovery,Office,1486,10,34,863.2,454.04,7,-0.057,2024,5,300
TechTechnologies,Manufacturing,Series J,Hong Kong,Recession,Hybrid,1902,19,92,1560.6,716.95,12,0.029,2023,4,417
ApexDynamics,Sales,Series A,Peru,Downturn,Office,96,3,121,6.9,28.18,20,0.059,2022,11,16
DigitalLabs,Transportation,Series H,Philippines,Recession,Remote,1916,12,137,1137.9,379.56,12,0.035,2023,9,738
Better Therapeutics,Support,Seed,Vietnam,Recovery,Hybrid,37,2,91,3.4,12.73,9,0.013,2024,8,12
DigitalDynamics,Fitness,Series G,Canada,Recovery,Hybrid,1428,14,73,826.5,371.25,13,0.054,2024,11,357
ApexGroup,Consumer,Series D,Colombia,Recovery,Remote,433,8,24,109.7,113.31,17,-0.006,2021,6,68
TechCorp,Aerospace,Private Equity,Turkey,Recession,Hybrid,4096,39,99,655,1133.6,7,-0.004,2023,5,1072
CloudCorp,Manufacturing,Subsidiary,Bulgaria,Recovery,Office,6931,15,206,637.1,1480.44,15,0.053,2024,8,1082
DigitalDynamics,HR,Series A,Indonesia,Recession,Office,117,3,101,13.8,47.89,9,-0.066,2023,3,32
GlobalLabs,Consumer,Private Equity,Ireland,Recovery,Remote,8209,15,54,1301.9,3053.19,9,0.039,2021,2,2558
SmartGroup,Sales,Subsidiary,South Korea,Recession,Office,3563,15,202,1281.2,950.42,17,0.041,2023,8,742
DigitalTechnologies,Manufacturing,Seed,Uruguay,Stable,Office,17,1,147,2.1,4.02,14,-0.046,2020,2,1
Albert,Infrastructure,Private Equity,Lithuania,Recession,Office,6504,30,226,873,1572.3,13,-0.06,2020,6,1025
ApexSolutions,Hardware,Series F,Poland,Recovery,Hybrid,1094,7,84,443.3,231.07,12,-0.033,2021,5,108
SmartInc,Security,Series H,Bulgaria,Recession,Hybrid,1804,13,206,1231.6,462.83,15,-0.03,2023,4,311
HomeLight,Logistics,Series C,Ireland,Downturn,Hybrid,469,4,64,57.1,68.9,12,0.05,2022,7,127
DataTechnologies,Retail,Subsidiary,Seychelles,Recovery,Office,4730,35,15,601.8,857.89,11,-0.026,2024,11,852
ApexGroup,Recruiting,Acquired,Austria,Recession,Hybrid,3154,7,225,758.6,1151.75,6,-0.008,2023,7,761
SmartLabs,Product,Series E,Ukraine,Recovery,Hybrid,745,9,114,285.2,329.67,11,0,2024,10,279
TIFIN,HR,Series C,Bahrain,Recession,Office,225,6,135,68,94.49,10,0.026,2020,4,39
ApexVentures,Manufacturing,Series H,South Korea,Recession,Office,2000,17,202,798.9,494.5,15,0.047,2020,7,214
SmartSolutions,Recruiting,Subsidiary,Brazil,Recovery,Hybrid,4275,6,177,617.3,1266.21,22,0.017,2021,6,695
QuantumInc,Security,Series A,Nigeria,Recession,Office,128,4,115,8.7,34.57,9,0.056,2023,7,34
DigitalGroup,Sales,Post-IPO,Indonesia,Downturn,Office,10525,20,101,1323.8,4734.91,15,0.021,2022,4,1492
Redox,Retail,Subsidiary,Luxembourg,Downturn,Hybrid,4570,48,130,886.4,1008.69,16,-0.044,2022,9,613
Virgio,HR,Series H,Myanmar,Recession,Hybrid,1723,11,236,1177.6,601.14,13,0.045,2023,4,243
SmartTechnologies,Media,Unknown,Bulgaria,Recession,Office,624,14,206,53,202.91,17,0.054,2020,4,67
Kleos Space,Finance,Series J,Indonesia,Recovery,Hybrid,2593,15,101,1713.9,455.05,11,-0.094,2024,6,792
QuantumGroup,Healthcare,Series D,Japan,Recession,Office,504,7,217,115.5,220.13,8,0.064,2023,9,174
SmartVentures,Legal,Series G,Cayman Islands,Downturn,Remote,1550,15,40,886.1,676.77,11,-0.038,2022,6,162
Group Nine Media,Real Estate,Series E,Colombia,Recession,Office,832,10,24,246.3,270.91,11,0.021,2020,10,239
SEND,Healthcare,Series I,Indonesia,Recovery,Remote,2153,11,101,1492.7,723.17,22,-0.014,2021,6,290
DataVentures,Crypto,Series F,South Africa,Downturn,Office,1223,12,39,438.6,175.71,15,-0.035,2022,7,217
Doma,HR,Subsidiary,Poland,Recession,Hybrid,6464,50,112,757.6,1578.62,10,-0.065,2023,6,1581
Unbounce,Aerospace,Private Equity,Colombia,Recession,Office,7390,23,24,947.9,1362.58,7,0.013,2020,8,1602
TechTechnologies,Legal,Unknown,Hungary,Recovery,Hybrid,1273,7,34,77.4,474.14,18,-0.047,2024,5,186
Konfio,Energy,Series B,Vietnam,Stable,Hybrid,205,4,88,21,36.58,18,0.011,2020,2,31
Hyperloop One,Food,Series B,Japan,Recession,Office,226,3,217,26.5,54.11,13,0.034,2020,6,56
Freenome,Consumer,Series B,Chile,Recession,Office,203,7,197,26.8,61.66,18,-0.016,2020,6,58
Trax,Food,Series C,Myanmar,Recovery,Remote,309,6,236,88.3,63.8,11,0.061,2024,10,31
Clever Real Estate,Other,Subsidiary,Luxembourg,Growth,Remote,2266,40,130,1146,752.66,11,0.035,2021,11,579
TechGroup,Manufacturing,Post-IPO,Turkey,Recession,Remote,7762,10,99,2459.5,1909.89,10,-0.065,2023,9,847
TechSolutions,Marketing,Private Equity,Argentina,Downturn,Office,1829,20,35,1516.3,327.73,10,0.024,2022,8,594
NexusDynamics,HR,Private Equity,Brazil,Recovery,Hybrid,5411,16,74,1228.7,888.01,10,0.001,2021,5,1491
NexusCorp,Infrastructure,Acquired,Switzerland,Recovery,Hybrid,3542,26,239,469.1,822.89,16,-0.062,2024,8,769
AIInc,Transportation,Series H,Turkey,Recovery,Hybrid,2357,19,99,1097.1,574.57,15,0.028,2021,8,562
Marketforce,Marketing,Acquired,Thailand,Recession,Remote,3823,7,12,506.6,1517.88,21,0.008,2020,4,1101
QuantumVentures,Legal,Series B,Sweden,Recovery,Remote,267,6,211,32.7,65.39,18,-0.065,2024,9,42
Avocargo,Media,Series J,Luxembourg,Recession,Office,2670,16,130,1786.2,948.28,13,-0.033,2020,8,767
Merama,Infrastructure,Series C,Uruguay,Recovery,Remote,380,8,147,66.7,61.53,16,-0.025,2021,5,128
CloudLabs,Data,Subsidiary,Germany,Recovery,Remote,6104,1,20,942.4,1507.65,14,-0.036,2021,6,1423
GlobalTechnologies,Crypto,Series F,Norway,Recovery,Hybrid,896,11,77,336.7,182.34,6,-0.029,2021,7,313
CrowdStreet,Construction,Seed,Japan,Recession,Hybrid,28,3,217,2.5,8.14,11,-0.023,2020,11,5
Lytics,Healthcare,Acquired,Israel,Recession,Hybrid,2618,25,187,485.2,930.71,14,0.047,2023,5,1015
CloudDynamics,Construction,Subsidiary,Indonesia,Recession,Office,4534,7,101,836.9,1091.69,15,-0.018,2023,5,731
GlobalSolutions,Product,Subsidiary,Malaysia,Recession,Office,1166,2,113,350.7,282.13,9,0.01,2020,10,240
ApexInnovations,Data,Subsidiary,Portugal,Recession,Hybrid,3637,47,51,777.4,826.99,11,0.024,2023,7,1312
NexusSystems,Aerospace,Series F,United Arab Emirates,Stable,Hybrid,680,13,63,258.6,106.6,11,0.01,2022,2,143
QuantumDynamics,Product,Series A,Lithuania,Downturn,Hybrid,76,2,226,10.6,14.43,11,-0.002,2022,10,13
Fipola,Infrastructure,Seed,Belgium,Recovery,Remote,24,3,32,3.7,4.53,15,-0.025,2021,7,5
Bittrex,Construction,Series D,Belgium,Recession,Hybrid,626,8,32,166.3,177.83,15,-0.016,2020,6,196
Singular Genomics,Energy,Series H,China,Stable,Office,2027,11,163,1039,609.95,19,-0.03,2020,2,455
TechCorp,Travel,Series G,Cayman Islands,Recession,Office,1646,15,40,742.1,389,11,0.002,2023,6,341
SmartTechnologies,Travel,Series H,Italy,Recession,Hybrid,1937,17,142,1223.1,670.93,22,-0.045,2023,8,265
Spreetail,Travel,Series H,Brazil,Recession,Hybrid,2089,17,104,656.4,664.38,15,0.031,2023,3,592
BioMarin,Sales,Series C,Singapore,Recession,Hybrid,335,7,205,64.6,74.19,16,-0.038,2020,5,55
DigitalDynamics,Marketing,Series G,Brazil,Downturn,Office,1409,9,56,546,474.23,9,-0.04,2022,9,383
NexusVentures,Transportation,Post-IPO,United States,Recession,Hybrid,8362,24,14,3502.4,2536.03,10,0.028,2020,7,964
GlobalCorp,Security,Post-IPO,Singapore,Recovery,Remote,8430,48,205,2118.2,2877.02,15,-0.042,2024,10,1972
Pear Therapeutics,Sales,Private Equity,Canada,Downturn,Hybrid,2735,37,218,729.7,1061.2,10,0.006,2022,6,743
Tapas Media,Aerospace,Series I,Uruguay,Recovery,Hybrid,1847,11,147,1643,383.78,10,-0.039,2021,6,284
Matterport,Retail,Subsidiary,Australia,Stable,Hybrid,4975,19,212,949.8,1365.35,10,-0.017,2020,1,1177
Cameo,Security,Series D,Ghana,Growth,Hybrid,611,7,1,121.3,182.16,11,-0.057,2021,9,76
PACT Pharma,Product,Series A,Greece,Recession,Hybrid,93,5,7,12.3,27.91,9,0.007,2020,8,11
GlobalSystems,Fitness,Series B,Estonia,Stable,Hybrid,140,3,213,36.3,50.32,15,-0.022,2024,1,25
ApexSolutions,Consumer,Series E,Romania,Recovery,Hybrid,1086,8,50,216.1,400.82,12,-0.044,2024,5,211
TechSolutions,Transportation,Subsidiary,Thailand,Recovery,Hybrid,3262,46,12,838.1,771.68,20,0.029,2021,5,623
SmartSolutions,Healthcare,Series I,Estonia,Recovery,Remote,2548,19,213,1293.7,587.1,19,0.041,2021,7,766
AIGroup,Recruiting,Series J,Spain,Stable,Remote,2380,16,13,2244.5,528.62,14,-0.053,2023,10,514
GlobalDynamics,Hardware,Series D,Argentina,Recovery,Hybrid,541,6,35,141.8,114.33,9,0.002,2024,5,51
QuantumLabs,HR,Series A,Germany,Growth,Office,79,5,107,13.9,23.49,14,0.052,2021,11,30
NexusDynamics,Construction,Private Equity,Egypt,Recovery,Remote,5928,34,37,1642.6,994.87,12,-0.025,2024,5,550
OKCredit,Manufacturing,Series E,Senegal,Stable,Hybrid,1061,9,57,382.2,385.02,10,0.029,2020,2,250
QuantumSystems,Recruiting,Series C,Spain,Recession,Remote,290,9,13,67.3,92.75,14,-0.04,2023,7,74
YouTube,Food,Series F,Czech Republic,Recession,Office,800,7,31,476.9,229.03,21,0.07,2020,8,70
QuantumInc,Logistics,Post-IPO,Mexico,Recovery,Remote,8470,29,140,1154.2,1936.43,17,0.061,2021,5,1336
ZenLedger,Energy,Subsidiary,Denmark,Stable,Hybrid,3122,49,53,521.2,979.91,18,-0.045,2020,1,615
DigitalSolutions,Product,Private Equity,Egypt,Recovery,Remote,6695,27,37,758.5,3244.87,10,-0.009,2021,8,1419
TechInc,Finance,Series A,Senegal,Recession,Office,82,4,57,13.4,22.29,16,-0.033,2020,5,25
Pegasystems,Real Estate,Subsidiary,India,Recession,Hybrid,2549,24,157,960.8,656.38,15,-0.141,2023,6,744
NexusVentures,HR,Series C,South Korea,Recovery,Hybrid,363,5,202,90,55.21,6,-0.067,2021,5,72
DataDynamics,AI,Series G,Vietnam,Recovery,Hybrid,992,9,88,719.1,371.19,10,-0.013,2024,11,168
DataLabs,Education,Private Equity,Mexico,Recession,Office,5269,26,146,1026.5,1307.04,12,-0.025,2020,8,1502
StreetBees,Hardware,Series B,United States,Recovery,Hybrid,234,5,143,29.2,47.05,10,-0.009,2024,9,44
QuantumCorp,Support,Series G,Israel,Recession,Office,1695,15,103,605.3,259.16,12,0.012,2020,5,109
TechGroup,Hardware,Unknown,Pakistan,Downturn,Hybrid,187,2,106,63.3,51.01,16,-0.027,2022,9,29
Secfi,Education,Subsidiary,Estonia,Downturn,Remote,2253,46,213,664.8,306.11,16,-0.045,2022,8,190
DigitalVentures,Infrastructure,Subsidiary,Finland,Recovery,Remote,4561,29,70,513.5,1638.94,16,0.02,2021,8,551
AIInc,Support,Series C,United States,Stable,Remote,302,5,201,52.9,91.8,15,0.049,2023,11,84
Kitopi,Construction,Series J,Australia,Recession,Hybrid,1944,19,212,1734.6,569.55,13,-0.006,2023,9,344
ApexSystems,Energy,Series C,Poland,Recovery,Office,374,8,125,88.1,135.43,22,-0.027,2021,4,107
QuantumTechnologies,Marketing,Post-IPO,Chile,Recession,Hybrid,2411,27,197,2028.6,617.93,18,0.009,2023,9,590
AITechnologies,Security,Series C,Egypt,Recovery,Remote,182,5,37,72.1,31.11,10,-0.01,2021,5,39
QuantumSolutions,Fitness,Series J,Egypt,Recovery,Office,2399,22,37,1248.6,289.94,22,-0.008,2024,12,485
NexusSystems,Logistics,Post-IPO,Seychelles,Downturn,Hybrid,4451,12,15,3256.5,1457.41,13,0.018,2022,6,608
GlobalInc,Media,Series E,Malaysia,Recovery,Hybrid,824,12,113,245.4,289.38,18,0.02,2024,3,110
ApexInnovations,Healthcare,Private Equity,Brazil,Recession,Office,5034,36,17,276.5,1652.5,14,0.035,2023,9,1347
